
=== Placas com data 20/06/2026 ===
Total de placas v├ílidas na planilha: 235
Com dados insuficientes: 0

=== ATEN├ç├âO: 4 placas t├¬m inspe├º├Áes duplicadas ===
DYC9G10: 2 inspe├º├Áes (LANCADO(NF:5835), EMITIDA(NF:5835))
EGP7854: 2 inspe├º├Áes (LANCADO(NF:5833), LANCADO(NF:5852))
BRY7J69: 2 inspe├º├Áes (LANCADO(NF:5827), LANCADO(NF:5827))
DYN6E82: 2 inspe├º├Áes (LANCADO(NF:5811), EMITIDA(NF:5811))

=== RESUMO DO BANCO ===
Emitidas/Lan├ºadas: 152
Erro: 0
Processando: 1
Fila: 82
Aguardando: 0
N├úo encontradas no banco: 0

--- Emitidas/Lan├ºadas ---
GFR1I29 | EMITIDA | NF: 5999 | Job: CONCLUIDO
BPW0H19 | EMITIDA | NF: 6000 | Job: CONCLUIDO
DGW6E65 | EMITIDA | NF: 6001 | Job: CONCLUIDO
EYZ5E87 | EMITIDA | NF: 6002 | Job: CONCLUIDO
CFE0C04 | EMITIDA | NF: 6003 | Job: CONCLUIDO
EEI1357 | EMITIDA | NF: 6004 | Job: CONCLUIDO
DGC5I78 | EMITIDA | NF: 6005 | Job: CONCLUIDO
EHY2F06 | EMITIDA | NF: 6006 | Job: CONCLUIDO
NDJ8734 | EMITIDA | NF: 6007 | Job: CONCLUIDO
FDF2I27 | EMITIDA | NF: 6008 | Job: CONCLUIDO
DBU5A30 | EMITIDA | NF: 6009 | Job: CONCLUIDO
EAL1B89 | EMITIDA | NF: 6010 | Job: CONCLUIDO
ENO9I49 | EMITIDA | NF: 6011 | Job: CONCLUIDO
NDY8B95 | EMITIDA | NF: 6012 | Job: CONCLUIDO
CFT4E98 | EMITIDA | NF: 6013 | Job: CONCLUIDO
FQY2E01 | EMITIDA | NF: 6014 | Job: CONCLUIDO
MQU4413 | EMITIDA | NF: 6015 | Job: CONCLUIDO

--- Processando ---
FJW7E26 | AGUARDANDO | NF:  | Job: PROCESSANDO

--- Fila ---
